All,Todos
"Invalid download link type.","Tipo de link de download inválido."
"Provided content must be valid base64 encoded data.","Conteúdo fornecido deve ser codificado com dados base64 válidos."
"Provided file name contains forbidden characters.","O nome do ficheiro fornecido contém caracteres proibidos."
"Link file not provided","Link do ficheiro não fornecido"
"Link price must have numeric positive value.","O preço do link deve ter um valor numérico positivo."
"Number of downloads must be a positive integer.","O número de downloads deve ser um número inteiro positivo."
"Sort order must be a positive integer.","A ordem de classificação deve ser um número inteiro positivo."
"Link URL must have valid format.","O URL do link deve ter um formato válido."
"Provided file content must be valid base64 encoded data.","O conteúdo fornecido deve ser devidamente codificado através de base64."
"Sample URL must have valid format.","O URL da Amostra deve ter um formato válido."
"Order id cannot be null","O id da encomenda não pode ser null"
"Order item id cannot be null","O id do item da encomenda não pode ser null"
"Provided product must be type 'downloadable'.","Produto fornecido deve ser do tipo 'downloadable'."
"Provided link information is invalid.","Informações do link fornecido são inválidas."
"Invalid link type.","Tipo de link inválido."
"Link title cannot be empty.","O link tem de ter um título."
"There is no downloadable link with provided ID.","Não existe nenhum link de download com o ID fornecido."
"Provided downloadable link is not related to given product.","O Link para download fornecido não está relacionado com o produto determinado."
"Cannot delete link with id %1","Não foi possível eliminar o link com id %1"
"Please specify product link(s).","Por favor especifique o(s) link(s) do produto."
"Sample file not provided","Ficheiro de exemplo não fornecido"
"Provided sample information is invalid.","As informações de amostra fornecidas são inválidas."
"Invalid sample type.","Tipo de amostra inválido."
"Sample title cannot be empty.","Título da amostra não pode estar vazio."
"There is no downloadable sample with provided ID.","Não existe nenhum amostra com o ID fornecido."
"Provided downloadable sample is not related to given product.","A amostra de download fornecido não está relacionado com o produto determinado."
"Cannot delete sample with id %1","Não é possível eliminar a amostra com o id %1"
attachment,anexo
Pending,Pendente
"To enable the option set the weight to no","Para ativar a opção defina o peso para ""não"""
"Is this downloadable Product?","Isto é um Produto com download?"
"Links can be purchased separately","Os Links podem ser comprados em separado"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","São recomendados caracteres alfanumérico, hífens e underscores para nomes de ficheiro. Caracteres impróprios são substituídos com '_'."
"Add Link","Adicionar Link"
Sample,Amostra
Shareable,Partilhável
"Max. Downloads","Máx. Downloads"
Samples,Amostras
sample,amostra
"Add links to your product files here.","Adicione links aos seus ficheiros de produto aqui."
"Attach File or Enter Link","Anexar Ficheiro ou Inserir Link"
"Add product preview files here.","Adicione ficheiros de pré-visualização do produto aqui."
"Unselect all","Desmarcar tudo"
"Go to <a href=""%1"">My Downloadable Products</a>","Ir para <a href=""%1"">Os Meus Produtos com Download</a>"
"Downloadable Products","Produtos com Download"
"Remaining Downloads","Downloads Restantes"
"View Order","Ver Encomenda"
"Start Download","Iniciar Download"
"You have not purchased any downloadable products yet.","Ainda não comprou nenhum produto passível de download."
"Downloadable Product Section","Seção de Produtos com Download"
"Downloadable Product Options","Opções de Produto com Download"
"Order Item Status to Enable Downloads","Estado do Item da Encomenda para Ativar Downloads"
"Default Maximum Number of Downloads","Número Máximo de Downloads Pré-definido"
"Default Sample Title","Título de Amostra Pré-definido"
"Default Link Title","Título de Link Pré-definido"
"Open Links in New Window","Abrir Links numa Nova Janela"
"Use Content-Disposition","Usar Disposição de Conteúdo"
"Disable Guest Checkout if Cart Contains Downloadable Items","Desativar Checkout para Utilizadores Não Registados se o Carrinho Contiver Itens com Download"
"Guest checkout will only work with shareable.","O checkout para utilizadores não registados apenas funcionará com conteúdo partilhável."
"Product type of the product must be 'downloadable'.","O tipo do produto deve ser 'downloadable'."
"Default Label","Etiqueta Pré-definida"
"Default label","Etiqueta pré-definida"
"Values Required","Valores Necessários"
"Decimal Number","Número Décimal"
"Integer Number","Número Inteiro"
Letters,Letras
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou Números (0-9)"
"Input type ""%value%"" not found in the input types list.","O tipo de input ""%value%"" não está na lista de tipos de input."
"Entity object is undefined","O objeto entidade não está definido"
"""%1"" is not a valid image format","""%1"" não é um formato de imagem válido"
"""%1"" cannot contain more than %2 lines.","""%1"" não pode conter mais que %2 linhas."
"Attribute group does not belong to provided attribute set","Grupo de atributo não pertence ao conjunto de atributos fornecido"
"Cannot save attributeGroup","Não é possível gravar attributeGroup"
"Cannot delete attributeGroup with id %1","Não é possível eliminar o attributeGroup com id %1"
"AttributeSet with id ""%1"" does not exist.","O AttributeSet com id ""%1"" não existe."
"Wrong attribute set id provided","O id de conjunto de atributos fornecido está errado"
"Attribute group does not belong to attribute set","Grupo de atributo não pertence ao conjunto de atributos"
"Attribute set not found: %1","Conjunto de atributos não encontrado: %1"
"Attribute ""%1"" not found in attribute set %2.","O atributo ""%1"" não foi encontrado no conjunto de atributos %2."
"System attribute can not be deleted","Não é possível eliminar atributos do sistema"
"Cannot save attribute","Não é possível gravar o atributo"
"Attribute with attributeCode ""%1"" does not exist.","O atributo com o attributeCode ""%1"" não existe."
"Cannot delete attribute.","Não é possível eliminar o atributo."
"Attribute with id ""%1"" does not exist.","O atributo com id ""%1"" não existe."
"There was an error saving attribute set.","Houve um erro ao gravar o conjunto de atributos."
"Default attribute set can not be deleted","Conjunto de atributos padrão não pode ser excluído"
"There was an error deleting attribute set.","Houve um erro ao excluir o conjunto de atributos."
"Invalid entity_type specified: %1","O valor de entity_type especificado é inválido: %1"
"Entity is not initialized","A entidade não foi inicializada"
"Unknown parameter","Parâmetro desconhecido"
"The attribute code '%1' is reserved by system. Please try another attribute code","O código de atributo '%1' é reservado ao sistema. Por favor tente outro código de atributo"
"Invalid default decimal value","O valor decimal pré-definido é inválido"
"Invalid default date","A data pré-definida é inválida"
"Invalid entity supplied","A entidade fornecida é inválida"
"Invalid backend model specified: %1","Modelo de backend inválido: %1"
"Source model ""%1"" not found for attribute ""%2""","Modelo de fonte ""%1"" não encontrado para o atributo ""%2"""
"The value of attribute ""%1"" must be unique","O valor do atributo ""%1"" deve ser único"
"Invalid date","Data inválida"
"Empty attribute code","Código de atributo vazio"
"Attribute %1 doesn't work with options","O atributo %1 não funciona com opções"
"Cannot save attribute %1","Não é possível gravar o atributo %1"
"Attribute %1 doesn't have any option","O atributo %1 não tem nenhuma opção"
"Cannot load options for attribute %1","Não é possível carregar as opções para o atributo %1"
"Attribute %1 does not contain option with Id %2","O atributo %1 não contém opção com Id %2"
"Entity attribute with id ""%1"" not found","Atributo de entidade com id ""%1"" não foi encontrado"
"Attribute set name is empty.","Nome do conjunto de atributo está vazio."
"An attribute set named ""%1"" already exists.","Um conjunto de atributos chamado '%1' já existe."
"No options found.","Não há opções encontradas."
"Invalid entity supplied: %1","Entidade inválida fornecida: %1"
"Attempt to add an invalid object","Tentativa de adicionar um objeto inválido"
"Invalid attribute identifier for filter (%1)","Identificador de atributo inválido para filtro (%1)"
"Invalid attribute requested: %1","Atributo inválido solicitado: %1"
"Joint field or attribute expression with this alias is already declared","Já está declarado um campo combinado ou uma expressão de atributo com este nome"
"Invalid alias, already exists in joint attributes","Nome inválido, já existe nos atributos combinados"
"Invalid foreign key","Chave estrangeira inválida"
"Invalid entity type","Tipo de entidade inválido"
"Invalid attribute type","Tipo de atributo inválido"
"A joined field with this alias is already declared.","Já está declarado um campo combinado com este nome."
"Invalid joint fields","Campos combinados inválidos"
"A joint field with this alias (%1) is already declared.","Já está declarado um campo combinado com este nome (%1)."
"Data integrity: No header row found for attribute","Integridade de dados: Não foi encontrado nenhuma linha de cabeçalhos para o atributo"
"Invalid attribute name: %1","Nome de atributo inválido: %1"
"Invalid character encountered in increment ID: %1","Caracter inválido no ID de incremento: %1"
"The current module pathname is undefined.","O caminho do módulo atual está indefinido."
"The current module EAV entity is undefined.","A entidade EAV do módulo atual está indefinida."
"The form code is not defined.","O código do formulário não está definido."
"The entity instance is not defined.","A instância da entidade não está definida."
"Invalid form type.","Tipo de formulário inválido."
"Invalid EAV attribute","Atributo EAV inválido"
"Attribute with the same code","Atributo com o mesmo código"
"The storefront label is not defined.","A etiqueta da loja não está definida."
"Default option value is not defined","O valor da opção pré-definida não está definido"
"Attribute group with same code already exist. Please rename ""%1"" group","Grupo de atributo com o mesmo código já existe. Por favor, renomeie o grupo de ""%1"""
"Form Element with the same attribute","Elemento do Formulário com o mesmo atributo"
"Form Fieldset with the same code","Conjunto de Campos de Formulário com o mesmo código"
"Form Type with the same code","Tipo de Formulário com o mesmo código"
"The value of attribute ""%1"" is invalid.","O valor do atributo ""%1"" é inválido."
"Wrong entity ID","ID da entidade errado"
"Wrong attribute set ID","ID de conjunto de atributos errado"
"Wrong attribute group ID","ID de grupo de atributos errado"
"An attribute code must not be less than %1 and more than %2 characters.","Um código de atributo não deve ter menos do que %1 nem mais do que %2 de caracteres."
"Attribute with ID: ""%1"" does not exist","O atributo com id: ""%1"" não existe"
"AttributeSet does not exist.","O AttributeSet não existe."
hello,olá
"Some internal exception message.","Alguma mensagem de exceção interna."
"The value of attribute not valid","O valor do atributo não é válido"
"EAV types and attributes","Atributos e tipos EAV"
"Entity types declaration cache","Cache de declaração de tipos de entidade"
"Entity types declaration cache.","Cache de declaração de tipos de entidade."
"These changes affect all related products.","Essas alterações afetam todos os produtos relacionados."
"There is no such data mapper ""%1"" for interface %2","Não existe nenhum mapeador de dados ""%1"" para a interface %2"
"Data mapper ""%1"" must implement interface %2","O mapeador de dados ""%1"" deve implementar a interface %2"
"Could not ping search engine: %1","Não conseguimos efetuar um ping ao motor de pesquisa: %1"
"Elasticsearch Server Hostname","Hostname do Servidor Elasticsearch"
"Elasticsearch Server Port","Porto do Servidor Elasticsearch"
"Elasticsearch Index Prefix","Prefixo de Índice Elasticsearch"
"Enable Elasticsearch HTTP Auth","Ativar Autenticação HTTP para Elasticsearch"
"Elasticsearch HTTP Username","Username HTTP Elasticsearch"
"Elasticsearch HTTP Password","Palavra-passe HTTP Elasticsearch"
"Elasticsearch Server Timeout","Timeout do Servidor Elasticsearch"
"Test Connection","Testar Ligação"
"We were unable to perform the search because of a search engine misconfiguration.","Fomos incapazes de realizar a pesquisa devido um erro de configuração do motor de pesquisa."
"Add New Template","Adicionar Novo Template"
"Transactional Emails","Emails Transacionais"
"Delete Template","Remover Template"
"Convert to Plain Text","Converter para Texto sem Formatação"
"Return Html Version","Retornar a Versão Html"
"Preview Template","Pré-Visualizar Template"
"Save Template","Gravar Template"
"Load Template","Carregar Template"
"Edit Email Template","Editar Template de Email"
"New Email Template","Novo Template de Email"
"Template Information","Informação do Template"
"Currently Used For","Usado Atualmente Para"
"Template Name","Nome do Template"
"Template Subject","Assunto do Template"
"Insert Variable...","Inserir Variável..."
"Template Content","Conteúdo do Template"
"Template Styles","Estilos do Template"
"You deleted the email template.","Removeu o template de email."
"The email template is currently being used.","O template de email está a ser usado."
"We can't delete email template data right now. Please review log and try again.","De momento não é possível remover os dados do template de email. Por favor consulte o log e tente novamente."
"We can't find an email template to delete.","Não conseguimos encontrar um template de email para remover."
"Edit Template","Editar Template"
"Edit System Template","Editar Template de Sistema"
"New Template","Novo Template"
"New System Template","Novo Template de Sistema"
"Email Templates","Templates de Email"
"Email Preview","Pré-Visualizar Email"
"An error occurred. The email template can not be opened for preview.","Ocorreu um erro. Não é possível pré-visualizar o template de email."
"This email template no longer exists.","Este template de email já não existe."
"You saved the email template.","Gravou o template de email."
"Area is already set","Área já definida"
"Design config must have area and store.","A configuração de design deve ter área e loja."
"Base Unsecure URL","URL Base Inseguro"
"Base Secure URL","URL Base Seguro"
"General Contact Name","Nome de Contacto Geral"
"General Contact Email","Email de Contacto Geral"
"Sales Representative Contact Name","Nome de Contacto do Representante de Vendas"
"Sales Representative Contact Email","Email de Contacto do Representante de Vendas"
"Custom1 Contact Name","Nome de Contacto Personalizado1"
"Custom1 Contact Email","Email de Contacto Personalizado1"
"Custom2 Contact Name","Nome de Contacto Personalizado2"
"Custom2 Contact Email","Email de Contacto Personalizado2"
"Store Hours","Horário de Funcionamento"
"Street Address 1","Morada (Linha 1)"
"Street Address 2","Morada (Linha 2)"
"Store Contact Information","Informação de Contacto da Loja"
"Template Variables","Variáveis do Template"
"Please enter a template name.","Por favor insira um nome para o template."
"Duplicate Of Template Name","Duplicado do Nome do Template"
"Invalid transactional email code: %1","Código de email transacional inválido: %1"
"Requested invalid store ""%1""","Solicitou uma loja inválida ""%1"""
"""file"" parameter must be specified","O parâmetro ""ficheiro"" deve ser especificado"
"Contents of %s could not be loaded or is empty","Os conteúdos de %s não puderam ser carregados ou está vazio"
"""file"" parameter must be specified and must not be empty","O parâmetro ""ficheiro"" deve ser especificado e não pode estar vazio"
"Design params must be set before calling this method","Os parâmetros de design devem estar definidos antes de chamar este método"
"CSS inlining error:","Erro de inlining de CSS:"
"Error filtering template: %s","Erro ao filtrar o template: %s"
"We're sorry, an error has occurred while generating this content.","Pedimos desculpa, ocorreu um erro ao gerar este conteúdo."
"Invalid sender data","Dados do remetente inválidos"
"Load default template","Carregar template pré-definido"
"Are you sure you want to strip tags?","Tem a certeza que pretende remover as tags?"
"Are you sure you want to delete this template?","Tem a certeza que pretende remover este template?"
"The template did not load. Please review the log for details.","O template não carregou. Por favor consulte o log para obter detalhes."
"Thank you, %store_name","Obrigado, %store_name"
"No Templates Found","Nenhum Template Encontrado"
"Template Type","Tipo de Template"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Tipos de ficheiro permitidos: jpg, jpeg, gif, png. Para otimizar o logótipo para ecrãs de alta resolução, carregue uma imagem que tenha 3 vezes o tamanho normal e especifique a dimensão normal nos campos de largura/altura abaixo."
"Logo Image","Imagem do Logótipo"
"Logo Image Alt","Texto Alternativo à Imagem do Logótipo"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Apenas necessário se a imagem foi carregada acima. Introduza o número de píxeis, sem acrescentar ""px""."
"Logo Width","Largura do Logótipo"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Apenas necessário se a imagem foi carregada acima. Introduza a altura da imagem em píxeis, sem acrescentar ""px""."
"Logo Height","Altura do Logótipo"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","O template de email é escolhido com base no tema de recurso quando a opção ""Default"" está selecionada."
"Header Template","Template de Cabeçalho"
"Footer Template","Template de Rodapé"
"We're sorry, an error has occurred while generating this email.","Pedimos desculpa, ocorreu um erro ao gerar este email."
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Tipos de ficheiro permitidos: jpg, jpeg, gif, png. Para otimizar o logótipo para ecrãs de alta resolução, carregue uma imagem que tenha 3 vezes o tamanho normal e especifique a dimensão normal nos campos de largura/altura abaixo."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Apenas necessário se a imagem foi carregada acima. Introduza o número de píxeis, sem acrescentar ""px""."
"Change Encryption Key","Alterar Chave de Encriptação"
"Encryption Key","Chave de Encriptação"
"New Encryption Key","Nova Chave de Encriptação"
"The encryption key is used to protect passwords and other sensitive data.","A chave de encriptação é usada para proteger as palavras-passe e outros dados confidenciais."
"Auto-generate a Key","Gerar uma Chave automaticamente"
"The generated key will be displayed after changing.","A chave gerada será exibida após a alteração."
"New Key","Nova chave"
"Deployment configuration file is not writable.","Não existem permissões de escrita para o ficheiro de configuração de implementação."
"Please enter an encryption key.","Por favor digite uma chave de encriptação."
"The encryption key has been changed.","A chave de encriptação foi alterada."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Esta é sua nova chave de encriptação: %1. Não se esqueça de a apontar e de ter cuidado para não a divulgar!"
"Manage Encryption Key","Gerir Chave de Encriptação"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","Esta é a sua nova chave de encriptação: <span style=""font-family:monospace;"">%1</span>. Não se esqueça de a guardar e de a manter segura!"
"Private Sales","Promoções Privadas"
"Address Verification","Verificação da Morada"
"Email Verification","Verificação de e-mail"
"Mobile Verification","Verificação do Contacto Telefónico"
"Phone Verification","Verificação de telefone"
"Response Code","Código de Resposta"
"Fraud Message","Mensagem de Fraude"
"Approve Message","Aprovar Mensagem"
"Wrong response type","Tipo de resposta errada"
"Connection Type","Tipo de Conexão"
"Sandbox Mode","Modo Sandbox"
"Live API Key","Chave da Live API"
"Live API Password","Palavra-passe da Live API"
"Live Client-side Encryption Key","Chave de Encriptação do Client-side Live"
"Sandbox API Key","Chave da API Sandbox"
"Sandbox API Password","Palavra-passe da API Sandbox"
"Sandbox Client-side Encryption Key","Chave de Encriptação do Client-side Sandbox"
"Transaction has been declined, please, try again later.","A transação foi recusada. Por favor tente novamente mais tarde."
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Issue Number","Número de Emissão"
"Europe First Priority","Envio Prioritário, Europa"
"1 Day Freight","Frete de 1 dia"
"2 Day Freight","Frete de 2 dias"
"2 Day","2 Dias"
"2 Day AM","2º Dia de Manhã"
"3 Day Freight","Frete de 3 dias"
Ground,Terrestre
"First Overnight","Envio Noturno Prioritário"
"Home Delivery","Entrega ao Domicílio"
"International Economy","Internacional económico"
"Intl Economy Freight","Frete Económico Internacional"
"International First","Internacional Primeira"
"International Ground","Terrestre, Internacional"
"International Priority","Internacional Prioritário"
"Intl Priority Freight","Frete Prioritário Internacional"
"Priority Overnight","Prioritário Noturno"
"Standard Overnight","Normal, Noturno"
Freight,Frete
"National Freight","Frete Nacional"
"Regular Pickup","Levantamento Normal"
"Request Courier","Solicitar Mensageiro"
"Drop Box","Caixa de Depósito"
"Business Service Center","Central de Serviços Comerciais"
Station,Estação
"FedEx Envelope","Envelope FedEx"
"FedEx Pak","Pack FedEx"
"FedEx Box","Caixa FedEx"
"FedEx Tube","Tubo FedEx"
"FedEx 10kg Box","Caixa 10kg FedEx"
"FedEx 25kg Box","Caixa 25kg FedEx"
"Your Packaging","O Seu Pacote"
"Not Required","Não Necessário"
Adult,Adulto
Direct,Direto
Indirect,Indireto
"Invalid response from carrier","Resposta inválida do serviço de transporte"
"No available tracking items","Itens de rastreamento indisponíveis"
"For some reason we can't retrieve tracking info right now.","De momento não é possível obter informações para o acompanhamento da entrega."
status,estado
"Empty response","Sem resposta"
"Account ID","ID da conta"
"Please make sure to use only digits here. No dashes are allowed.","Por favor certifique-se que apenas usa dígitos neste campo. Não são permitidos hífens."
"Meter Number","Número do Contador"
Key,Chave
"Web-Services URL (Production)","URL dos Web-Services (Produção)"
"Web-Services URL (Sandbox)","URL dos Web-Services (Testes)"
"Packages Request Type","Tipo de Pedido de Pacotes"
Packaging,Acondicionamento
Dropoff,Entrega
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso Máximo do Pacote (Por favor contacte a sua transportadora para saber qual o peso máximo suportado)"
"Residential Delivery","Entrega Residencial"
"Hub ID","ID do Hub"
"The field is applicable if the Smart Post method is selected.","O campo é aplicável se o método Smart Post estiver selecionado."
"Gift Card Information","Informações de cartão-presente"
Physical,Físico
Combined,Combinado
"Add Amount","Adicionar Quantidade"
"Gift Card Type","Tipo de Cartão-Presente"
"Gift Card Sender","Remetente do Cartão de Oferta"
"Gift Card Recipient","Destinatário do Cartão-Presente"
"Gift Card Message","Mensagem do Cartão de Oferta"
"Gift Card Lifetime","Validade do Cartão de Oferta"
"Gift Card Is Redeemable","Cartão-Presente é Resgatável"
"We cannot create this gift card.","Não podemos criar este cartão-presente."
"Gift Card Accounts","Contas do Cartão de Oferta"
"Duplicate amount found.","Quantidade em duplicado encontrada."
"Something went wrong while preparing the gift card.","Algo correu mal durante a emissão do cartão de oferta."
"Please specify a gift card amount.","Por favor especifique um valor para o cartão de oferta."
"Please specify all the required information.","Por favor especifique todas as informações necessárias."
"Gift Card max amount is %1","O valor máx para o Cartão de Oferta é %1"
"Gift Card min amount is %1","O valor min para o Cartão de Oferta é %1"
"Please specify a recipient name.","Por favor, especifique um nome de destinatário."
"Please specify a sender name.","Por favor, especifique um nome de remetente."
"Please specify a recipient email.","Por favor, especifique um email de destinatário."
"Please specify a sender email.","Por favor especifique o email do remetente."
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Algumas contas de cartão de oferta não foram criadas corretamente. Pode criar contas de cartão de oferta manualmente <a href=""%1"">aqui</a>."
"Treat Balance as Store Credit","Tratar o Saldo como Crédito de Loja"
"Lifetime (days)","Tempo de Vida (dias)"
"Allow Message","Permitir Mensagem"
"All Websites [%1]","Todos os Sites [%1]"
"Choose an Amount...","Escolha um Montante..."
"Other Amount...","Outro Montante..."
"Amount in %1","Quantidade em %1"
Minimum,Mínimo
Maximum,Máximo
"Recipient Name","Nome do Destinatário"
"Recipient Email","E-mail do Destinatário"
"Maximum length of the message is %1 characters.","O comprimento máximo da mensagem é de %1 caracteres."
"Delete Amount","Eliminar Montante"
"Minimum: %1","Mínimo: %1"
"Maximum: %1","Máximo: %1"
"You've been sent a gift from %store_name","Recebeu um presente da %store_name"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender enviou-lhe um cartão de oferta para usar na <a href=""%store_url""> %store_name</a> e está pronto para ser usado em compras."
"Gift Card Codes:","Códigos de Cartões de Oferta:"
"Gift Card Code:","Código do Cartão de Oferta:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Cada cartão tem um saldo de %balance que pode ser usado na <a href=""%store_url""> %store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","O cartão tem um saldo de %balance que pode ser usado na <a href=""%store_url""> %store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Clique no(s) código(s) acima para receber o seu valor em Crédito da Loja."
"Message from %sender_name:","Mensagem de %sender_name:"
"Gift Cards","Cartões de Oferta"
"Gift Card Email Settings","Definições de Email de Cartões de Oferta"
"Gift Card Notification Email Sender","Remetente de Email de Notificações de Cartão de Oferta"
"Gift Card Notification Email Template","Template de Email de Notificações de Cartão de Oferta"
"Gift Card General Settings","Definições Gerais do Cartão de Oferta"
Redeemable,Resgatável
"If empty no expiration.","Se estiver vazio não expira."
"Allow Gift Message","Permitir Mensagem de Oferta"
"Gift Message Maximum Length","Comprimento Máximo da Mensagem de Oferta"
"Generate Gift Card Account when Order Item is","Gerar Conta de Cartão de Oferta quando o Item da Encomenda é"
"Messaging and Lifetime","Mensagens e Validade"
"Add Gift Card Account","Adicionar Conta de Cartão de Oferta"
"Save & Send Email","Gravar e Enviar E-mail"
"Edit Gift Card Account: %1","Editar Conta de Cartão de Oferta: %1"
"New Gift Card Account","Nova Conta de Cartão de Oferta"
Information,Informação
"Gift Card Code","Código do Cartão de Oferta"
"Send Gift Card","Enviar cartão-prenda"
"Send Email from the Following Store View","Enviar Email a partir da Seguinte Vista de Loja"
"-- First Please Select a Website --","-- Primeiro, por favor, selecione um Sítio Web --"
"Gift Card Account","Conta de Cartão de Oferta"
History,Histórico
"This gift card account has been deleted.","Esta conta de cartão de oferta foi eliminada."
"We couldn't find a gift card account to delete.","Não foi possível encontrar uma conta de cartão de oferta para eliminar."
"Edit Gift Card Account","Editar Conta de Cartão de Oferta"
"New Account","Nova Conta"
"New code pool was generated.","Foi gerada um novo conjunto de códigos."
"We were unable to generate a new code pool.","Não foi possível gerar um novo conjunto de códigos."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Conjunto de Códigos usado: <b>%1%</b> (<b>%2</b> livres de um total de <b>%3</b>). Pode gerar um novo conjunto de códigos <a href=""%4"">aqui</a>."
"Please select a gift card account(s)","Por favor selecione uma ou mais contas de cartão de oferta"
"You deleted a total of %1 records.","Você excluiu um total de %1 registo(s)."
"You saved the gift card account.","Gravou a conta de cartão de oferta."
"An email was not sent because the gift card account is not active.","Não foi enviado um email porque a conta de cartão de oferta não está ativa."
"You saved the gift card account, but an email was not sent.","Gravou a conta de cartão de oferta, mas não foi enviado um email."
"We will refund the gift card amount to your customer’s store credit","Iremos reembolsar o montante do cartão de oferta para o crédito de loja do seu cliente"
"Please enable Store Credit to refund the gift card amount to your customer","Por favor ative o Crédito de Loja para reembolsar o valor do cartão de oferta ao seu cliente"
"Please correct the gift card code.","Por favor corrija o código do cartão-prenda."
"Gift Card ""%1"" was added.","Cartão-Prenda ""%1"" foi adicionado."
"We cannot apply this gift card.","Não é possível aplicar este cartão-prenda."
"Gift Card ""%1"" was removed.","O Cartão-Oferta ""%1"" foi removido."
"You can't remove this gift card.","Não pode remover este cartão de oferta."
"You can't redeem a gift card now.","De momento não pode utilizar um cartão de oferta."
"Gift Card ""%1"" was redeemed.","O Cartão-Oferta ""%1"" foi utilizado com sucesso."
"We cannot redeem this gift card.","Não é possível utilizar este cartão de oferta."
"Could not save the gift card account.","Não foi possível guardar a conta de cartão de oferta."
"Could not delete the gift card account.","Não foi possível remover a conta de cartão de oferta."
"The expiration date must be set in the future.","O prazo de validade deve ser definido no futuro."
"The balance cannot be less than zero.","O saldo não pode ser menor que zero."
"This gift card account is already in the quote.","Esta conta de cartão de oferta já se encontra no orçamento."
"Please correct the gift card account code: ""%1"".","Por favor corrija o código da conta de cartão de oferta: ""%1""."
"This gift card account wasn't found in the quote.","Esta conta de cartão de oferta não se encontra no orçamento."
"Please correct the gift card account ID. Requested code: ""%1""","Por favor corrija o ID da conta de cartão de oferta. Código requisitado: ""%1"""
"Please correct the gift card account website: %1.","Por favor corrija o site da conta de cartão de oferta: %1."
"Gift card account %1 is not enabled.","A conta de cartão de oferta %1 não está ativada."
"Gift card account %1 is expired.","A conta de cartão de oferta %1 expirou."
"Gift card account %1 has a zero balance.","A conta de cartão de oferta %1 tem saldo zero."
"Gift card account %1 balance is lower than the charged amount.","O saldo da conta de cartão de oferta %1 é inferior ao montante cobrado."
Available,Disponível
Redeemed,Utilizado
Expired,Expirado
"Please enter a valid customer ID.","Por favor insira um ID de cliente válido."
"Gift Card Redeemed: %1. For customer #%2.","Cartão de Oferta Utilizado: %1. Para o cliente #%2."
"Order #%1.","Encomenda #%1."
"Recipient: %1.","Destinatário: %1."
"Customer #%1.","Cliente #%1."
"Please assign a gift card account.","Por favor associe uma conta de cartão de oferta."
"Unknown history action.","Ação de histórico desconhecida."
"We were unable to create full code pool size. Please check settings and try again.","Não conseguimos criar todo o conjunto de códigos. Por favor confira as definições e tente novamente."
"No codes left in the pool.","Já não existem códigos disponíveis no conjunto."
"Cart %1 doesn't contain products","O carrinho %1 não contém produtos"
"Could not delete gift card from quote","Não foi possível eliminar o cartão de oferta do orçamento"
"Could not add gift card code","Não foi possível adicionar o código de cartão de oferta"
"Please correct the wrong or expired Gift Card Code.","Por favor corrija o código do cartão de oferta, o mesmo está errado ou expirou."
Alphabetical,Alfabético
Numeric,Numérico
"The maximum generated code length is 255. Please correct your settings.","O comprimento máximo do código é 255. Por favor corrija as suas definições."
"test message","mensagem de teste"
Generate,Gerar
"Code Pool used: ","Conjunto de Códigos usado: "
" (free "," (livres "
" of "," de "
"Are you sure you want to continue without saving your changes?","Tem a certeza que pretende continuar sem gravar as suas alterações?"
"Refund Gift Cards to Store Credit","Reembolsar Cartões de Oferta para Crédito de Loja"
"Add Gift Card","Adicionar Cartão de Oferta"
"Gift Card (%1)","Cartão de Oferta (%1)"
"This won't take long . . .","Isto não vai demorar muito . . ."
"Enter gift card code","Inserir código de cartão de oferta"
"Redeem Gift Card","Usar Cartão de Oferta"
"Check status and balance","Verificar estado e saldo"
"Have a gift card? ","Tem um cartão de oferta? "
"Click here","Clique aqui"
" to redeem it."," para o utilizar."
"Enter the gift card code","Insira o código do cartão de oferta"
"Check Gift Card status and balance","Verificar o estado e saldo do Cartão de Oferta"
